zone,machine,latitude,longitude,time,wait,free
1A,n01,42.843192,-2.669368,17:30:00,3022.25,0.0
1A,n02,42.844329,-2.671206,17:30:00,1354.5,0.25
1A,n03,42.844722,-2.673517,17:30:00,1308.0,0.25
1A,n04,42.846017,-2.674048,17:30:00,531.25,0.5
1A,n05,42.842084,-2.676660,17:30:00,802.75,0.5
1A,n06,42.843940,-2.678364,17:30:00,2097.25,0.0
1A,n07,42.843167,-2.676180,17:30:00,703.25,0.25
1A,n08,42.845886,-2.676431,17:30:00,952.25,0.0
1A,n09,42.843505,-2.676943,17:30:00,2094.75,0.0
1A,n10,42.842216,-2.671651,17:30:00,651.0,0.0
1B,n11,42.841651,-2.663999,17:30:00,998.0,0.0
1B,n12,42.842585,-2.666392,17:30:00,443.75,0.5
1B,n13,42.845994,-2.666712,17:30:00,802.25,0.5
1B,n14,42.845354,-2.668020,17:30:00,2455.0,0.25
1B,n15,42.844447,-2.667477,17:30:00,1050.75,0.25
1B,n16,42.843993,-2.664345,17:30:00,2840.25,0.0
1B,n17,42.843371,-2.667994,17:30:00,2091.75,0.25
1B,n18,42.846112,-2.665283,17:30:00,2307.25,0.25
1B,n19,42.844210,-2.667207,17:30:00,1956.75,0.25
1B,n20,42.846282,-2.664841,17:30:00,1032.75,0.25
2A,n21,42.854717,-2.668962,17:30:00,2812.0,0.0
2A,n22,42.851766,-2.662751,17:30:00,1136.0,0.25
2A,n23,42.847319,-2.662746,17:30:00,572.0,0.25
2A,n24,42.852346,-2.668313,17:30:00,887.5,0.0
2A,n25,42.852195,-2.666933,17:30:00,1089.25,0.25
2A,n26,42.847209,-2.662913,17:30:00,1657.25,0.25
2A,n27,42.848920,-2.672195,17:30:00,614.5,0.25
2A,n28,42.851552,-2.671803,17:30:00,514.5,0.25
2A,n29,42.847819,-2.672450,17:30:00,2318.75,0.0
2A,n30,42.848879,-2.669770,17:30:00,2202.75,0.0
2B,n31,42.852872,-2.677976,17:30:00,1418.5,0.25
2B,n32,42.854209,-2.676412,17:30:00,1824.0,0.0
2B,n33,42.851632,-2.674028,17:30:00,1007.75,0.25
2B,n34,42.852995,-2.679119,17:30:00,942.0,0.5
2B,n35,42.854321,-2.675353,17:30:00,1500.25,0.25
2B,n36,42.853523,-2.673979,17:30:00,1489.25,0.0
2B,n37,42.852388,-2.674029,17:30:00,1528.25,0.25
2B,n38,42.855262,-2.674785,17:30:00,1735.25,0.0
2B,n39,42.852070,-2.674191,17:30:00,815.0,0.0
2B,n40,42.854413,-2.677201,17:30:00,2046.5,0.0
2C,n41,42.849384,-2.677384,17:30:00,1699.75,0.0
2C,n42,42.850134,-2.676031,17:30:00,1838.75,0.25
2C,n43,42.848232,-2.677220,17:30:00,707.0,0.25
2C,n44,42.847121,-2.673524,17:30:00,953.5,0.5
2C,n45,42.847966,-2.676557,17:30:00,2868.25,0.0
2C,n46,42.848313,-2.678718,17:30:00,1913.5,0.25
2C,n47,42.847944,-2.678839,17:30:00,1015.0,0.25
2C,n48,42.848255,-2.677798,17:30:00,1444.5,0.25
2C,n49,42.850177,-2.677765,17:30:00,897.5,0.5
2C,n50,42.850349,-2.675315,17:30:00,2207.0,0.25
